rho0_c,phi_c,status,omega_shoot,omega_phys,alpha_inf,M_total,M_baryon_rest,M_boson_rest,N_baryon,N_boson,R_fluid,R_baryon_99,R_boson_99,R_total_99,rest_mass,binding_energy,mass_defect,relative_binding_energy,M_fluid_grav,M_scalar_grav,nodes,phi_end
1.500000000000000031e-03,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.453455839233050995e+00,1.472740069618189152e+00,1.593221381221378907e+00,0.000000000000000000e+00,1.593221381221378907e+00,0.000000000000000000e+00,9.263088232744246753e+00,8.829610428476156514e+00,nan,8.802934871290428731e+00,1.593221381221378907e+00,-1.204813116031897557e-01,1.204813116031897557e-01,-7.562119930302944881e-02,1.472740246376170070e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000031e-03,2.500000000000000139e-02,1.000000000000000000e+00,1.151797062443801867e+00,8.006576455558568339e-01,1.438563746736180038e+00,1.284163266858705521e+00,1.265824744876490549e+00,1.152918785489683851e-01,1.265824744876490549e+00,1.152918785489683851e-01,8.902968210736910137e+00,8.476159295765253177e+00,7.609203687229076252e+00,8.442814849283092116e+00,1.381116623425458823e+00,-9.695335656675330149e-02,9.695335656675330149e-02,-7.019925393866352503e-02,1.172490784600187963e+00,1.116723406837623889e-01,0.000000000000000000e+00,8.655989755285506861e-08
1.500000000000000031e-03,5.000000000000000278e-02,1.000000000000000000e+00,1.198846380453324034e+00,8.437636507547071618e-01,1.420831982251204995e+00,8.709833242488707050e-01,5.854794844081875338e-01,3.368334785319366809e-01,5.854794844081875338e-01,3.368334785319366809e-01,7.382461451150382992e+00,7.009003650550183373e+00,7.435812565521840334e+00,7.069023654218072217e+00,9.223129629401242147e-01,-5.132963869125350964e-02,5.132963869125350964e-02,-5.565316845122319361e-02,5.455690679740964333e-01,3.254143800122212826e-01,1.000000000000000000e+00,-1.561311641952239912e-07
1.500000000000000031e-03,7.500000000000001110e-02,1.000000000000000000e+00,1.274036474531749175e+00,8.642336550568930909e-01,1.474180584240124769e+00,6.381093474652854702e-01,1.569480039733844867e-01,5.075180299498708303e-01,1.569480039733844867e-01,5.075180299498708303e-01,4.634879061020339641e+00,4.408136824941647269e+00,7.109036989996664779e+00,6.942314757585861251e+00,6.644660339232553170e-01,-2.635668645796984677e-02,2.635668645796984677e-02,-3.966596501908477984e-02,1.472954939472350955e-01,4.908139468822393381e-01,1.000000000000000000e+00,-1.135045860258379625e-07
1.500000000000000031e-03,1.000000000000000056e-01,1.000000000000000000e+00,1.379436505917692291e+00,8.478184553710830240e-01,1.627042319235578072e+00,6.032261480003242582e-01,4.166310376822724565e-02,5.799168438566285610e-01,4.166310376822724565e-02,5.799168438566285610e-01,2.807603393797932334e+00,2.680894497165721813e+00,6.362121388796264654e+00,6.408803613871289606e+00,6.215799476248557998e-01,-1.835379962453154157e-02,1.835379962453154157e-02,-2.952765721394968665e-02,3.959557551032486661e-02,5.636304028702900926e-01,0.000000000000000000e+00,3.591762660124115457e-07
2.250000000000000264e-03,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.689488665849568694e+00,1.601976738733544847e+00,1.753124402780451341e+00,0.000000000000000000e+00,1.753124402780451341e+00,0.000000000000000000e+00,8.396132624208068052e+00,7.989330377125708260e+00,nan,7.955985930643547199e+00,1.753124402780451341e+00,-1.511476640469064936e-01,1.511476640469064936e-01,-8.621616572514000099e-02,1.601976985674081977e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.250000000000000264e-03,2.500000000000000139e-02,1.000000000000000000e+00,1.193972807255340385e+00,7.142268936115353517e-01,1.671699592853383320e+00,1.486275072649938522e+00,1.543667892445328205e+00,7.751598735598777545e-02,1.543667892445328205e+00,7.751598735598777545e-02,8.269423727575857086e+00,7.855952591197064905e+00,6.422141392464154386e+00,7.815939255418472342e+00,1.621183879801316063e+00,-1.349088071513775411e-01,1.349088071513775411e-01,-8.321622786423910068e-02,1.411085975478526544e+00,7.518864196024317714e-02,0.000000000000000000e+00,2.159788903230731070e-06
2.250000000000000264e-03,5.000000000000000278e-02,1.000000000000000000e+00,1.235942698997678058e+00,7.568644218188920192e-01,1.632977668612653366e+00,1.174422654720366221e+00,1.019593206861475032e+00,2.475784705368212213e-01,1.019593206861475032e+00,2.475784705368212213e-01,7.715905915971990048e+00,7.322441447482493260e+00,6.288763606535511030e+00,7.262421443814604416e+00,1.267171677398296170e+00,-9.274902267792994870e-02,9.274902267792994870e-02,-7.319373083555526238e-02,9.349621069200650947e-01,2.394601397186766345e-01,0.000000000000000000e+00,1.985610136319144724e-07
2.250000000000000264e-03,7.500000000000001110e-02,1.000000000000000000e+00,1.305273684329586015e+00,8.074197540173998489e-01,1.616598650002136761e+00,8.056452814683967567e-01,4.440316482478475768e-01,4.091407307473339250e-01,4.440316482478475768e-01,4.091407307473339250e-01,6.182061377792597234e+00,5.855285802267421680e+00,6.155385820606868563e+00,5.928643584528175303e+00,8.531723789951815018e-01,-4.752709752678474509e-02,4.752709752678474509e-02,-5.570632465007773620e-02,4.098796538092938646e-01,3.957655605367134122e-01,0.000000000000000000e+00,1.464863619381730222e-07
2.250000000000000264e-03,1.000000000000000056e-01,1.000000000000000000e+00,1.404104014119366362e+00,8.297105092117846858e-01,1.692281824239214139e+00,6.210092455771443198e-01,1.325962467205404893e-01,5.115096244090470146e-01,1.325962467205404893e-01,5.115096244090470146e-01,3.947983463487829248e+00,3.741247895298432713e+00,5.941981363121040083e+00,5.855285802267421680e+00,6.441058711295875039e-01,-2.309662555244318405e-02,2.309662555244318405e-02,-3.585843040358870082e-02,1.235940770676735995e-01,4.974151040645978794e-01,1.000000000000000000e+00,-4.283647833316060319e-07
3.000000000000000062e-03,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.923762656569145690e+00,1.636276722392416838e+00,1.797304743072987820e+00,0.000000000000000000e+00,1.797304743072987820e+00,0.000000000000000000e+00,7.762588141047015000e+00,7.375792561853950602e+00,nan,7.335779226075358039e+00,1.797304743072987820e+00,-1.610280206805709824e-01,1.610280206805709824e-01,-8.959416665492642151e-02,1.636276953869605366e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000062e-03,2.500000000000000139e-02,1.000000000000000000e+00,1.234546623280039057e+00,6.480594151861334140e-01,1.904989873382916254e+00,1.559326866526382638e+00,1.652606068994526112e+00,5.735672093436934571e-02,1.652606068994526112e+00,5.735672093436934571e-02,7.709237026675557658e+00,7.315772558186061758e+00,5.681894680560186650e+00,7.275759222407468307e+00,1.709962789928895388e+00,-1.506359234025127503e-01,1.506359234025127503e-01,-8.809310020645336192e-02,1.503490968539283212e+00,5.583560887243986526e-02,1.000000000000000000e+00,-5.248380411291780614e-06
3.000000000000000062e-03,5.000000000000000278e-02,1.000000000000000000e+00,1.273198904056334513e+00,6.851371723294564786e-01,1.858312401482285159e+00,1.338747069320672667e+00,1.265675439095085952e+00,1.927879720172681610e-01,1.265675439095085952e+00,1.927879720172681610e-01,7.475825901300432896e+00,7.089030322107368498e+00,5.588530230410136745e+00,7.029010318439479654e+00,1.458463411112354002e+00,-1.197163417916813355e-01,1.197163417916813355e-01,-8.208388423016728386e-02,1.151575942199617675e+00,1.871712475226174066e-01,0.000000000000000000e+00,8.040319935749008277e-06
3.000000000000000062e-03,7.500000000000001110e-02,1.000000000000000000e+00,1.338345749076688573e+00,7.391671429717421304e-01,1.810613149951461942e+00,1.012113364103622848e+00,7.492736946089394445e-01,3.375168704828380162e-01,7.492736946089394445e-01,3.375168704828380162e-01,6.788930303767922503e+00,6.415472503167721996e+00,5.481828001667222061e+00,6.342114720906968373e+00,1.086790565091777516e+00,-7.467720098815466834e-02,7.467720098815466834e-02,-6.871351609668079063e-02,6.846189340234094534e-01,3.274941205416008749e-01,0.000000000000000000e+00,3.350127342708873604e-06
3.000000000000000062e-03,1.000000000000000056e-01,1.000000000000000000e+00,1.432634283421793775e+00,7.898662243610617972e-01,1.813768254973403327e+00,7.099831465613515302e-01,2.992640085297657571e-01,4.457719848388611017e-01,2.992640085297657571e-01,4.457719848388611017e-01,5.121707979659886334e+00,4.834945739913304230e+00,5.395132440813604546e+00,5.101701311770590053e+00,7.450359933686268032e-01,-3.505284680727527302e-02,3.505284680727527302e-02,-4.704852801646044330e-02,2.755814086872879209e-01,4.344016164299859817e-01,1.000000000000000000e+00,-1.991953002298209943e-06
